Brand,Model,Kms,License,Year,Capacity,Type,Price
BMW,S 1000 R,21100,A,2015,0,NAKED,12440
HARLEY DAVIDSON,Sportster 883 Superlow,36800,A,2011,0,CUSTOM,7130
YAMAHA,X enter 125,21300,A1,2018,0,SCOOTER,2330
KTM,790 Duke,19300,A,2019,0,NAKED,6430
APRILIA,RSV Mille Tuono,33900,A,2006,0,NAKED,3930
BMW,R 1200 R,45000,A,2007,0,NAKED,5930
BMW,F 800 GS,50000,A,2009,0,TRAIL,6630
BMW,F 650 GS,50000,A / A2,2010,0,TRAIL,4330
MASH,X-Ride 650,5000,A / A2,2021,0,NAKED,4930
YAMAHA,XT 660 X,7000,A,2006,0,NAKED,4530
HONDA,CBR 1000 RR Fireblade,15000,A,2016,0,SPORT,13230
HARLEY DAVIDSON,Street 750,16000,A,2016,0,CUSTOM,6030
MASH,Cafe Racer,3000,A1,2019,0,NAKED,1930
HONDA,CBR 600 RR,48000,A,2008,0,SPORT,5730
KYMCO,Super Dink 350i,27000,A2,2017,0,MAXI-SCOOTER,3130
BMW,R 1200 RT 110cv,32000,A,2008,0,TOURING,9830
KTM,1190 Adventure,60000,A,2013,0,TRAIL,9330
SUZUKI,Hayabusa 1300 promo,35000,A,2005,0,SPORT,4230
HONDA,VARADERO XL1000V,47900,A,2002,0,TRAIL,4230
CFMOTO,650 MT,30000,A2,2019,0,NAKED,4330
KTM,1290 Super Duke R ABS,35300,A,2014,0,NAKED,9830
DUCATI,1098 SUPERBIKE,41000,A,2008,0,SPORT,7920
SUZUKI,Marauder 250,20640,A2,2008,0,CUSTOM,1530
DUCATI,Streetfighter 1100,22715,A,2010,0,NAKED,8230
BENELLI,TRK 251,8900,A2,2020,0,TRAIL,3230
BMW,R 1200 GS,33000,A,2017,0,TRAIL,16930
YAMAHA,MT 03,20000,A2,2006,0,NAKED,2830
APRILIA,Shiver 750,8500,A,2011,0,NAKED,4630
BMW,R 1200 RT,87000,A,2011,0,TOURING,8430
SUZUKI,GSX 650 F,33000,A,2009,0,TOURING,3930
SUZUKI,BURGMAN 400,20000,A2,2014,0,MAXI-SCOOTER,3630
KYMCO,Grand Dink 125,15000,A1,2017,0,SCOOTER,2650
YAMAHA,X MAX 250 promo,28000,A2,2014,0,MAXI-SCOOTER,5180
HONDA,CB 500 X ABS,47000,A / A2,2018,0,TRAIL,5180
HONDA,CBF 600S promo,38300,A,2006,0,NAKED,5930
KAWASAKI,Z 1000,60700,A,2010,0,NAKED,5930
GOES,G 125 GT,3000,A1,2020,0,SCOOTER,2150
YAMAHA,XVS 650 Drag Star Classic,35000,A,2001,0,CUSTOM,3350
KTM,690 SMC R ABS,6000,A,2019,0,OFF-ROAD,8450
BMW,R 850 R,30900,A,2006,0,NAKED,4550
BMW,F 800 ST,68000,A,2007,0,TOURING,3450
BMW,K 1600 GT,40000,A,2018,0,TOURING,16950
PIAGGIO,MP3 500 Sport ABS/ASR promo,711,A2,2021,0,TRES RUEDAS,2850
SUZUKI,GSF 600 Bandit S,65000,A,2004,0,TOURING,2850
SUZUKI,GSX R600,50000,A,2008,0,SPORT,5330
DUCATI,MONSTER 796 promo,43700,A,2011,0,NAKED,5250
BMW,C 600 Sport,24000,A / A2,2014,0,MAXI-SCOOTER,5250
HONDA,CB 500F,25000,A / A2,2017,0,NAKED,4750
HONDA,NT 700 V DEAUVILLE,27000,A / A2,2014,0,TOURING,7250
GILERA,Nexus 300,21400,A2,2006,0,MAXI-SCOOTER,1950
DUCATI,Scrambler Desert Sled,527,A,2021,0,NAKED,10950
BENELLI,Leoncino 250,5000,A2,2020,0,NAKED,3270
HONDA,CRF1000L Africa Twin,23000,A,2018,0,TRAIL,11550
BMW,F 800 GS,33700,A,2012,0,TRAIL,7430
TRIUMPH,SPEED Four,52400,A,2003,0,NAKED,2230
BMW,C 400 X,18000,A2,2018,0,MAXI-SCOOTER,5450
BMW,F 800 GS,50000,A,2016,0,TRAIL,7950
SWM,Super Dual T promo,5500,A2,2020,0,NAKED,3750
YAMAHA,YZF R6,35200,A,2005,0,SPORT,3750
BENELLI,Leoncino 250,12100,A2,2019,0,NAKED,2850
HONDA,CBR 600F promo,77900,A,1999,0,SPORT,1950
MOTOR HISPANIA,REVENGE,100,A1,2021,0,NAKED,1950
APRILIA,Caponord,40400,A,2014,0,TRAIL,8750
MOTO GUZZI,V7 II Racer,4600,A,2016,0,NAKED,7950
SUZUKI,GSX R1000,45500,A,2005,0,SPORT,5450
DUCATI,MONSTER 1200,22800,A,2014,0,NAKED,10950
HONDA,SCOOPY SH300i,11600,A2,2007,0,MAXI-SCOOTER,2950
ORCAL,Astor 125,1000,A1,2020,0,NAKED,1750
HARLEY DAVIDSON,Sportster Forty-Eight,16000,A,2016,0,CUSTOM,11550
HUSQVARNA,SVARTPILEN 401,3500,A2,2020,0,NAKED,4550
HONDA,CBR 650F,43200,A,2015,0,TOURING,5350
KTM,790 Duke promo,16000,A,2018,0,NAKED,1050
KTM,690 SMC R ABS promo,17000,A,2019,0,NAKED,1050
KTM,690 DUKE promo,20000,A,2018,0,NAKED,1050
BMW,C 650 GT promo,43000,A / A2,2017,0,MAXI-SCOOTER,1050
YAMAHA,YP Majesty 150,32000,A1,2003,0,SCOOTER,1050
SUZUKI,BURGMAN 400,9000,A2,2018,0,MAXI-SCOOTER,5250
HONDA,VFR 800 FI,59000,A,2007,0,TOURING,3950
KAWASAKI,Z 900,8000,A,2020,0,NAKED,8250
SUZUKI,Gladius 650 ABS,4000,A / A2,2012,0,NAKED,5150
YAMAHA,YZF R1,22000,A,2004,0,SPORT,5950
SYM,Fiddle 125,500,A1,2020,0,SCOOTER,2450
KAWASAKI,VERSYS 1000,9000,A,2020,0,TRAIL,12750
SUZUKI,VL 800 Intruder Volusia,60000,A,2004,0,CUSTOM,4250
BMW,F 800 R 2015,12000,A,2015,0,NAKED,6550
SYM,Fiddle III,10000,AM,2019,0,SCOOTER,1550
HONDA,FORZA 250 EX,27000,A2,2007,0,MAXI-SCOOTER,1750
KYMCO,Xciting 400i,29300,A / A2,2018,0,MAXI-SCOOTER,3550
TRIUMPH,TIGER 1050,32000,A,2010,0,TRAIL,6950
HONDA,CTX 700,13300,A,2014,0,TOURING,6750
YAMAHA,FJR 1300 A,51272,A,2008,0,TOURING,6950
KAWASAKI,ZX 6R,39900,A,2007,0,SPORT,4250
SUZUKI,GSX 650 F,27600,A,2008,0,TOURING,3450
SYM,MAXSYM 400,35200,A / A2,2012,0,MAXI-SCOOTER,2850
SYM,JOYMAX 300i ABS S&S Sport,11700,A2,2018,0,SCOOTER,3070
APRILIA,SX 125,4300,A1,2021,0,NAKED,3490
TRIUMPH,SPEED Four,20600,A,2004,0,SPORT,2850
KYMCO,AK 550,21200,A2,2017,0,MAXI-SCOOTER,5950
SUZUKI,BURGMAN 200 promo,19000,A2,2015,0,MAXI-SCOOTER,10450
HARLEY DAVIDSON,Sportster Superlow 1200T,21500,A,2017,0,CUSTOM,10450
SYM,Maxsym 600i ABS promo,2000,A / A2,2020,0,MAXI-SCOOTER,8750
BMW,R nineT,32800,A,2018,0,NAKED,8750
KYMCO,Agility CITY 125,11000,A1,2019,0,SCOOTER,1850
BMW,K 1200 R,33500,A,2007,0,TOURING,4950
KYMCO,AK 550,10200,A2,2018,0,MAXI-SCOOTER,6450
BMW,K 1200 S,49200,A,2008,0,TOURING,5950
DUCATI,MULTISTRADA 1000 DS,7000,A,2006,0,TRAIL,5250
BMW,F 700 GS promo,56000,A,2012,0,TRAIL,2430
SUZUKI,VanVan 125,6200,A1,2010,0,NAKED,2430
MV AGUSTA,Dragster 800 RR America,27000,A,2019,0,NAKED,13730
DUCATI,MONSTER S2R 800,24000,A,2006,0,NAKED,3430
KAWASAKI,Ninja 1000 SX,7400,A,2021,0,TOURING,14230
KTM,790 Duke promo,17000,A,2018,0,NAKED,1950
SYM,MAXSYM 600i ABS Sport promo,18000,A / A2,2019,0,MAXI-SCOOTER,1950
TRIUMPH,Street Triple R promo,39100,A,2013,0,NAKED,1950
MITT,125 PK,640,A1,2020,0,NAKED,1950
YAMAHA,Majesty 400,51990,A / A2,2012,0,MAXI-SCOOTER,3150
YAMAHA,X MAX 250,19000,A2,2014,0,MAXI-SCOOTER,2950
BMW,C 650 GT,3200,A2,2018,0,MAXI-SCOOTER,7950
BMW,F 800 GS,37300,A,2010,0,TRAIL,6950
BMW,R 1200 GS,4200,A,2016,0,TRAIL,15950
SUZUKI,Bandit 650 S,31500,A,2005,0,TOURING,3050
HONDA,Rebel 500,500,A2,2019,0,CUSTOM,5950
SUZUKI,GSX R1000,33500,A,2008,0,SPORT,7450
HONDA,NT 700 DEAUVILLE,46600,A,2007,0,TOURING,4150
TRIUMPH,DAYTONA 675 TRIPLE,31800,A,2006,0,SPORT,5550
YAMAHA,FJR 1300 A,42100,A,2008,0,TOURING,12550
BENELLI,Leoncino 250,1400,A2,2019,0,NAKED,3450
KAWASAKI,ZX 6R 636,26200,A,2005,0,SPORT,3450
HARLEY DAVIDSON,Dyna Switchback,60100,A,2012,0,CUSTOM,12450
BMW,F 800 GT,27500,A,2015,0,TOURING,6550
BMW,S 1000 RR,34400,A,2012,0,SPORT,11550
KAWASAKI,VERSYS 650 promo,59000,A / A2,2013,0,TRAIL,6450
BMW,C 650 GT,20000,A / A2,2018,0,MAXI-SCOOTER,6450
YAMAHA,XVS 650 Drag Star Classic,17000,A / A2,2007,0,CUSTOM,4450
KAWASAKI,ER 6N,71000,A / A2,2007,0,NAKED,2450
HARLEY DAVIDSON,VRSCA V-Rod Screaming Eagle promo,56000,A,2002,0,CUSTOM,4950
HONDA,CBR 1000RR,60000,A,2005,0,SPORT,4950
TRIUMPH,DAYTONA 650,52000,A,2006,0,SPORT,4150
YAMAHA,FZ1 N,72000,A,2010,0,NAKED,4950
YAMAHA,X-MAX 300,13000,A2,2018,0,MAXI-SCOOTER,4750
YAMAHA,X-MAX 125,8000,A1,2021,0,SCOOTER,4550
BMW,R 1200 GS Adventure,49000,A,2016,0,TRAIL,14950
BMW,G 310 R,10000,A2,2017,0,NAKED,3650
KAWASAKI,Z 900,6000,A,2020,0,NAKED,8250
DUCATI,Streetfighter 1100,37000,A,2010,0,NAKED,7650
BMW,C 600 Sport,43000,A / A2,2013,0,MAXI-SCOOTER,4750
YAMAHA,FZ1 N,56000,A,2006,0,NAKED,4150
YAMAHA,MT10 SP,16000,A,2020,0,NAKED,13950
MASH,Five Hundred,6000,A2,2019,0,NAKED,3450
KTM,RC8 1150,14800,A,2008,0,SPORT,7350
FKM,Street Scrambler 125,1000,A1,2020,0,NAKED,1650
HONDA,Integra,700,A,2021,0,TRAIL,14950
SYM,Mio 115,3000,A1,2019,0,SCOOTER,1350
SUZUKI,GSX-R1000R promo,17000,A,2017,0,SPORT,3450
YAMAHA,XVS 650 A Drag Star Classic,65000,A,2008,0,CUSTOM,3450
BMW,R 1200 GS promo,83000,A,2005,0,TRAIL,2650
HONDA,FMX 650 promo,26000,A / A2,2005,0,NAKED,2650
YAMAHA,YZF R1 promo,31000,A,2005,0,SPORT,2650
YAMAHA,XV 1100 Virago,73000,A,1991,0,CUSTOM,2650
BMW,R 1200 GS,17000,A,2007,0,TRAIL,8450
BMW,R 1200 GS 98cv promo,41000,A,2008,0,TRAIL,9650
HONDA,CB 500 X promo,25000,A / A2,2016,0,TRAIL,9650
SUZUKI,GSX-R1000R promo,17000,A,2018,0,SPORT,9650
BMW,R 1200 R,44000,A,2016,0,NAKED,9650
YAMAHA,Super Ténéré promo,41000,A,2018,0,TRAIL,2950
BMW,K 1200 RS,97000,A,2007,0,TOURING,2950
APRILIA,Dorsoduro 750 promo,34000,A,2010,0,NAKED,1150
DERBI,Variant Sport 50,10000,AM,2015,0,SCOOTER,1150
SUZUKI,GSX R600,16000,A,2008,0,SPORT,5750
BMW,R 1200 R,8000,A,2007,0,NAKED,7250
APRILIA,SMV 750 Dorsoduro promo,72000,A,2009,0,NAKED,9950
HONDA,Integra promo,17000,A / A2,2020,0,MAXI-SCOOTER,9950
HARLEY DAVIDSON,Dyna Low Rider,55000,A,2005,0,CUSTOM,9950
PEUGEOT,SATELIS 125i urban promo,12000,A1,2014,0,SCOOTER,15950
YAMAHA,V-Max 1700,18000,A,2009,0,CUSTOM,15950
BENELLI,502 C,6500,A2,2019,0,NAKED,4950
KYMCO,Xciting 400i,9800,A2,2019,0,MAXI-SCOOTER,5770
SYM,Jet 4 50 4T,14200,AM,2019,0,SCOOTER,1650
TRIUMPH,STREET TRIPLE S,7900,A / A2,2018,0,NAKED,7050
YAMAHA,MT10,29700,A,2016,0,NAKED,10250
APRILIA,Shiver 900,6600,A,2018,0,NAKED,6150
BMW,R 1200 GS 105cv,77185,A,2009,0,TRAIL,9150
BMW,G 310 R,2800,A2,2018,0,NAKED,3950
KAWASAKI,VN 1600 CLASIC,31700,A,2006,0,CUSTOM,6950
HONDA,SCOOPY SH300i TopBox,38087,A / A2,2012,0,MAXI-SCOOTER,3250
YAMAHA,XJ6 Diversion N,39100,A / A2,2012,0,NAKED,3650
TRIUMPH,Speedmaster 900,10743,A,2011,0,CUSTOM,6550
INDIAN,FTR 1200 promo,2200,A,2021,0,NAKED,2950
PIAGGIO,beverly Sport Touring 350 ie,27300,A2,2012,0,MAXI-SCOOTER,2950
SUZUKI,V-Strom 650 ABS,41986,A,2019,0,TRAIL,6350
BMW,K 1200 R,44106,A,2006,0,NAKED,4950
BMW,C 650 GT,14945,A / A2,2014,0,MAXI-SCOOTER,5650
BMW,F 700 GS,24924,A,2015,0,TRAIL,8750
HONDA,CBR 1000 RR Fireblade,8076,A,2017,0,SPORT,16950
SUZUKI,GSX R1000,64031,A,2006,0,SPORT,5250
YAMAHA,XVZ 1300 Royal Star Venture,32400,A,1999,0,CUSTOM,7250
TRIUMPH,Bonneville Bobber Black,1500,A,2020,0,CUSTOM,13950
HONDA,CRF1000L Africa Twin DCT,43000,A,2016,0,TRAIL,9950
HONDA,CBR 650 F promo,23000,A,2018,0,SPORT,2750
DUCATI,Streetfighter V4 promo,19000,A,2020,0,NAKED,2750
HONDA,Forza 125 promo,6000,A1,2017,0,SCOOTER,2750
DUCATI,1098 SUPERBIKE promo,46000,A,2007,0,SPORT,2750
BENELLI,BN 251 ABS,4500,A2,2017,0,NAKED,2750
APRILIA,SMV 750 Dorsoduro,44200,A,2008,0,NAKED,4450
BMW,R 1200 RT 110cv,49100,A,2006,0,TOURING,7950
KYMCO,Super Dink 125 ABS,11000,A1,2018,0,SCOOTER,2850
SUZUKI,V-Strom 650,80000,A,2006,0,TRAIL,2950
HARLEY DAVIDSON,Softail Slim,10900,A,2016,0,CUSTOM,19950
KAWASAKI,Ninja H2 SX SE +,1500,A,2021,0,TOURING,19950
KYMCO,Grand Dink 125,29300,A1,2019,0,SCOOTER,2250
BENELLI,TRK 251,6800,A2,2019,0,TRAIL,2850
HARLEY DAVIDSON,Street 750,3600,A,2018,0,CUSTOM,6950
KTM,690 SMC R ABS,11000,A / A2,2019,0,NAKED,8350
SUZUKI,BURGMAN 125,13300,A1,2016,0,SCOOTER,2350
KAWASAKI,VERSYS 650,61564,A / A2,2008,0,NAKED,3350
PIAGGIO,X EVO 400,12432,A / A2,2009,0,MAXI-SCOOTER,2150
YAMAHA,X MAX 125 Iron Max,11868,A1,2019,0,NAKED,4550
KAWASAKI,Z 750,56000,A,2005,0,NAKED,2450
BMW,F 800 GS,57921,A,2009,0,TRAIL,6650
YAMAHA,XV 1100 Virago,57287,A,1991,0,CUSTOM,2750
YAMAHA,XJ6 Diversion N,26700,A / A2,2009,0,NAKED,3850
SYM,Maxsym 600i ABS,38000,A2,2018,0,MAXI-SCOOTER,3950
DUCATI,MONSTER 620,1450,A,2003,0,NAKED,3650
BMW,F 800 S promo,65000,A,2008,0,TOURING,6250
KAWASAKI,Z 1000,19100,A,2008,0,NAKED,6250
DUCATI,749 R promo,49000,A,2005,0,SPORT,14950
HARLEY DAVIDSON,VRSC Night Rod Special,31200,A,2011,0,CUSTOM,14950
KAWASAKI,Z 900,13800,A,2020,0,NAKED,7950
BMW,C 600 Sport promo,17000,A / A2,2013,0,MAXI-SCOOTER,3250
KTM,390 Duke,27290,A2,2016,0,NAKED,3250
TRIUMPH,STREET TRIPLE,50932,A,2010,0,NAKED,3450
KTM,125 Duke,8565,A1,2019,0,NAKED,3750
APRILIA,Tuono 125,7080,A1,2021,0,NAKED,3750
HARLEY DAVIDSON,Sportster 883,14952,A,2003,0,CUSTOM,8950
HONDA,CBR 1000RR,25037,A,2008,0,SPORT,9170
BMW,R 1200 R,19779,A,2016,0,NAKED,10750
DUCATI,Scrambler Desert Sled,8915,A,2017,0,NAKED,9450
KYMCO,Grand Dink 125,14300,A1,2017,0,SCOOTER,2850
SUZUKI,V-Strom 650 ABS,25400,A / A2,2020,0,TRAIL,7450
BMW,G 310 R,360,A2,2020,0,SPORT,4950
DUCATI,MONSTER 1200,23800,A,2015,0,NAKED,11250
TRIUMPH,TIGER 800 XC,36600,A,2012,0,TRAIL,7250
KAWASAKI,J 125 promo,11500,A1,2017,0,SCOOTER,12970
KAWASAKI,Ninja H2 SX SE promo,4800,A,2019,0,TOURING,12970
KTM,1290 Super Adventure T,18000,A,2017,0,TRAIL,12970
YAMAHA,T-Max 500 ABS,57490,A / A2,2008,0,MAXI-SCOOTER,4770
KTM,950 Adventure,54625,A,2005,0,TRAIL,5770
BMW,F 800 ST,40023,A,2007,0,TOURING,3770
VESPA,Primavera 125,852,A1,2021,0,SCOOTER,3670
DUCATI,Scrambler 1100,8632,A,2018,0,NAKED,9880
YAMAHA,XJ6 Diversion N,19838,A / A2,2009,0,NAKED,3570
HONDA,X-ADV,34077,A / A2,2018,0,MAXI-SCOOTER,7970
SUZUKI,Bandit 650 S,68000,A,2007,0,TOURING,2570
QUADRO,QV3,32390,A / A2,2019,0,TRES RUEDAS,4470
KTM,Freeride 250 F,6000,A / A2,2018,0,OFF-ROAD,4970
DUCATI,Scrambler Café Racer promo,20000,A,2018,0,NAKED,2430
YAMAHA,FZ6 N,36000,A,2004,0,NAKED,2430
BMW,S 1000 RR,33000,A,2013,0,SPORT,11880
SYM,CruisymAlpha300 promo,1000,A2,2021,0,MAXI-SCOOTER,6330
KTM,690 DUKE promo,26000,A,2013,0,NAKED,6330
KAWASAKI,GTR 1400,89300,A,2009,0,TOURING,6330
HONDA,CBF 600N,65000,A,2007,0,NAKED,2430
TRIUMPH,SPEED TRIPLE RS,8400,A,2018,0,NAKED,12930
RIEJU,Century,800,A1,2021,0,NAKED,3030
SUZUKI,GS 500,63000,A / A2,1992,0,NAKED,1250
KTM,690 SMC R ABS,7900,A,2019,0,NAKED,8450
BENELLI,BN 251 ABS,18600,A2,2019,0,NAKED,2550
HARLEY DAVIDSON,Sportster 883,14500,A,2008,0,CUSTOM,6950
SUZUKI,BURGMAN 125 promo,20000,A1,2008,0,SCOOTER,4770
YAMAHA,X MAX 400 ABS,9000,A2,2016,0,MAXI-SCOOTER,4770
KYMCO,AK 550 promo,16000,A / A2,2019,0,MAXI-SCOOTER,7170
HONDA,CRF 250 RX,1700,A2,2019,0,OFF-ROAD,7170
HONDA,CB 500 F promo,4500,A2,2019,0,NAKED,4350
BMW,F 800 R,35000,A,2009,0,NAKED,4350
KTM,LC4 620 SUPERCOMPETICION,11800,A,2005,0,OFF-ROAD,4130
TRIUMPH,STREET TRIPLE RS promo,1000,A,2018,0,NAKED,2550
KAWASAKI,ER 6F,44200,A / A2,2006,0,NAKED,2550
BMW,G 650 GS,49000,A / A2,2010,0,TRAIL,4130
HONDA,VFR 800 FI,44000,A2,2011,0,TOURING,5970
DUCATI,HYPERMOTARD 1000,23800,A,2008,0,NAKED,6170
HONDA,VARADERO XL1000V,72000,A,2007,0,TRAIL,4470
YAMAHA,T-Max 500,37700,A2,2010,0,MAXI-SCOOTER,5170
BMW,K 1200 GT,85700,A,2006,0,TOURING,5970
YAMAHA,YZF R1,37500,A,2006,0,SPORT,5370
KAWASAKI,ZX-10RR,26600,A,2017,0,SPORT,14570
HONDA,VARADERO XL1000V,32600,A,2008,0,TRAIL,6470
KTM,690 SMC R ABS,6800,A,2020,0,NAKED,8570
MACBOR,Shifter MC1,20500,A1,2018,0,TRAIL,2170
TRIUMPH,SPEED TRIPLE,37800,A,2011,0,NAKED,7170
DUCATI,Scrambler Sixty2,13000,A2,2019,0,NAKED,6170
YAMAHA,X MAX 250,16000,A2,2010,0,MAXI-SCOOTER,2570
HONDA,VT 750 C SHADOW,48000,A,2012,0,CUSTOM,4570
BMW,R nineT Scrambler,1500,A,2020,0,NAKED,12470
SUZUKI,Gladius 650,42900,A2,2013,0,NAKED,3570
BMW,R 1200 GS,86000,A,2004,0,TRAIL,5670
DUCATI,MONSTER 1200,52500,A,2014,0,NAKED,7470
SYM,Symphony ST 200i CBS,6300,A2,2019,0,MAXI-SCOOTER,2270
SUZUKI,BURGMAN 125,24000,A1,2015,0,SCOOTER,2470
BMW,R 1200 GS,60700,A,2005,0,TRAIL,6370
SYM,MAXSYM 400,20000,A2,2012,0,MAXI-SCOOTER,3270
SUZUKI,GSR 600,38100,A,2006,0,NAKED,2770
SUZUKI,GSX R1000,30100,A,2008,0,SPORT,7470
BMW,K 1200 GT,101600,A,2006,0,TOURING,5470
KAWASAKI,Z 800e,11000,A / A2,2016,0,NAKED,5870
HONDA,NT 650 V DEAUVILLE,22000,A / A2,2003,0,TOURING,2970
VESPA,Elettrica L1,565,A1,2019,0,SCOOTER,4970
BMW,R nineT Urban GS,3000,A,2021,0,TOURING,15570
HONDA,VARADERO XL1000V,41000,A,2008,0,TRAIL,5770
KYMCO,Grand Dink 125,17000,A1,2018,0,SCOOTER,2570
PEUGEOT,Citystar 125 ABS,7200,A1,2019,0,SCOOTER,2270
HONDA,Forza 300,42000,A2,2018,0,MAXI-SCOOTER,3770
APRILIA,RS 660,913,A,2021,0,SPORT,9970
BENELLI,Leoncino 250,6000,A2,2020,0,NAKED,3270
BMW,G 310 GS,3639,A2,2019,0,TRAIL,4470
YAMAHA,YZF R1,52000,A,2006,0,SPORT,5370
TRIUMPH,Speedmaster 800,28900,A,2005,0,CUSTOM,5670
YAMAHA,YZF R1,41000,A,2005,0,SPORT,5970
DUCATI,Scrambler Classic,24000,A / A2,2017,0,NAKED,5970
SUZUKI,GSX R600 promo,45000,A,2009,0,SPORT,4470
HONDA,CBR 1000RR Fireblade promo,24000,A,2011,0,SPORT,4470
SUZUKI,GSX R1000,32500,A,2005,0,SPORT,4470
HONDA,NC 750 S,30100,A / A2,2015,0,NAKED,5570
YAMAHA,FZ8 N,38400,A,2011,0,NAKED,4770
HONDA,X-ADV,45000,A,2018,0,MAXI-SCOOTER,7470
HONDA,CB 1000R,15200,A,2019,0,NAKED,10770
KTM,790 Duke,42500,A,2018,0,NAKED,5570
TRIUMPH,TIGER Explorer 1200,30000,A,2015,0,TRAIL,10970
SUZUKI,BURGMAN 400,22500,A / A2,2015,0,MAXI-SCOOTER,3670
KAWASAKI,Vulcan S,8100,A / A2,2017,0,CUSTOM,6290
BMW,F 800 GT,16500,A,2016,0,TOURING,7470
HONDA,CBR 1000 RR Fireblade,6900,A,2018,0,SPORT,16370
BMW,F 900 XR,4700,A,2020,0,TRAIL,11970
YAMAHA,YZF R1,43000,A,2007,0,SPORT,6070
HONDA,CBF 600S,41500,A / A2,2010,0,TOURING,3270
HONDA,S-WING 125,37600,A1,2008,0,NAKED,1570
YAMAHA,X-MAX 250 Momodesing,2652,A2,2015,0,MAXI-SCOOTER,3170
HARLEY DAVIDSON,Sportster Forty-Eight,19000,A,2015,0,CUSTOM,11170
VESPA,Primavera 50 2T,10000,AM,2020,0,SCOOTER,1970
PIAGGIO,beverly Sport Touring 350 ie,19800,A2,2013,0,MAXI-SCOOTER,3270
HONDA,CB 500 F,17000,A / A2,2019,0,NAKED,4970
TRIUMPH,STREET TRIPLE 660,8750,A,2018,0,NAKED,6970
KTM,390 Duke,16000,A2,2018,0,NAKED,4470
BMW,C 650 GT,24000,A / A2,2015,0,MAXI-SCOOTER,5270
APRILIA,SRV 850,17900,A,2014,0,MAXI-SCOOTER,5570
BMW,K 1200 GT,111000,A,2007,0,TOURING,5470
YAMAHA,Niken,6660,A,2018,0,TRES RUEDAS,12470
KAWASAKI,ER 5,62300,A / A2,2006,0,NAKED,2270
YAMAHA,X MAX 125 Iron Max,11200,A1,2017,0,SCOOTER,3570
KYMCO,AK 550,22400,A / A2,2017,0,MAXI-SCOOTER,6170
HONDA,Crossrunner VFR800X,9500,A,2019,0,TRAIL,10970
BENELLI,TRK 502,60400,A2,2018,0,TRAIL,3970
KAWASAKI,ZZR 1400,66000,A,2009,0,SPORT,5970
KAWASAKI,ZX 6R,13900,A,2010,0,SPORT,6370
BMW,F 650,25000,A / A2,2000,0,TRAIL,2970
BMW,C 600 Sport,23300,A2,2015,0,MAXI-SCOOTER,5570
APRILIA,Tuono 1000 R,49600,A,2007,0,NAKED,3870
HARLEY DAVIDSON,VRSC V-Rod,44700,A,2006,0,CUSTOM,8770
HARLEY DAVIDSON,Sportster Forty-Eight,51800,A,2014,0,CUSTOM,9970
BMW,S 1000 R,12800,A,2019,0,NAKED,12970
SYM,HD 300,12500,A2,2019,0,MAXI-SCOOTER,2770
HONDA,FORZA 250 X,56000,A2,2006,0,MAXI-SCOOTER,1170
YAMAHA,YZF-R3,11225,A2,2019,0,SPORT,5570
DUCATI,Scrambler Classic,12000,A,2017,0,NAKED,8270
SUZUKI,VL 800 Intruder Volusia,40510,A,2002,0,CUSTOM,4970
BMW,F 800 GT,12836,A,2013,0,TOURING,6470
HARLEY DAVIDSON,Sportster 883 Iron,16000,A,2014,0,CUSTOM,9270
PIAGGIO,beverly 300 ie,21000,A2,2011,0,MAXI-SCOOTER,2270
KYMCO,People 50 S,12000,AM,2017,0,SCOOTER,1470
HONDA,Passion 125 I.E.,39000,A1,2008,0,SCOOTER,1270
BMW,K 1300 S,53000,A,2010,0,TOURING,8470
BMW,G 310 GS,21000,A2,2018,0,TRAIL,3770
DUCATI,MULTISTRADA 1200 S Sport promo,33600,A,2010,0,TRAIL,6170
PIAGGIO,Beverly 400 HPE,4500,A2,2021,0,MAXI-SCOOTER,6170
BMW,S 1000 RR,13100,A,2018,0,SPORT,17470
KYMCO,Grand Dink 125 promo,22000,A1,2017,0,SCOOTER,2490
